id,user_name,first_name,last_name,email,phone
1,alex.popa,Alex,Popa,alex.popa@example.com,0799000011
2,ioana.rusu,Ioana,Rusu,ioana.rusu@example.com,0799000012
3,mihai.stan,Mihai,Stan,mihai.stan@example.com,0799000013
4,elena.dinu,Elena,Dinu,elena.dinu@example.com,0799000014
5,dan.ionescu,Dan,Ionescu,dan.ionescu@example.com,0799000015
6,ana.matei,Ana,Matei,ana.matei@example.com,0799000016
7,cristian.luca,Cristian,Luca,cristian.luca@example.com,0799000017
8,irina.toma,Irina,Toma,irina.toma@example.com,0799000018
9,vasile.nistor,Vasile,Nistor,vasile.nistor@example.com,0799000019
10,roxana.ilie,Roxana,Ilie,roxana.ilie@example.com,0799000020
